Fecha,Concepto,Monto,Quien Pago
12/6/2026,Coto,"151312,32",Martu
13/6/2026,Diarco ,"15600,77",Pablo
13/6/2026,Dia,5500,Martu
14/6/2026,Verduleria,9400,Pablo
14/6/2026,Diarco ,"8777,86",Pablo
14/6/2026,Rapanui,11680,Martu
2/7/2026,Metrogas,6387,Martu
7/7/2026,AYSA,29200,Martu
17/7/2026,Coto,"84719,36",Martu
17/7/2026,Carrefour,"6862,5",Martu
18/7/2026,Diarco,2800,Martu
18/7/2026,Estancia San Francisco,16762,Pablo
18/7/2026,Coto,29200,Pablo
20/7/2026,Diarco,"7228,82",Pablo
21/7/2026,Sushi pop,26667,Martu
22/7/2026,Diarco,13230,Martu
22/7/2026,Rapanui,5840,Martu
23/7/2026,Coto,"99367,8",Martu
24/7/2026,El buen libro,10600,Pablo
25/7/2026,Rapanui,11680,Martu
28/7/2026,Verduleria,3000,Pablo
28/7/2026,Carniceria RES,21178,Pablo
29/7/2026,Carniceria RES,20083,Pablo
30/7/2026,Rapanui,12800,Martu
1/8/2026,Coto,"34884,23",Pablo
1/8/2026,Rapanui,5840,Martu
2/8/2026,Rapanui,11680,Martu
3/8/2026,mostaza ,6990,Pablo
4/8/2026,Compra ML Balanza,16592,Pablo
5/8/2026,Personal Wifi,"35842,54",Martu
6/8/2026,Edesur,15293,Pablo
6/8/2026,Metrogas,6406,Martu
6/8/2026,Coto,112178,Martu
6/8/2026,Compra ML,"13581,17",Martu
6/8/2026,Compra ML,45214,Pablo
6/8/2026,Verduleria,5060,Pablo
6/8/2026,Diarco,8820,Pablo
7/8/2026,Luccianos,9760,Martu
9/8/2026,Rapanui,5840,Martu
11/8/2026,Aysa,31862,Pablo
12/8/2026,Expensas,349964,Martu
12/8/2026,Diarco,6170,Pablo
12/8/2026,Verduleria,11500,Pablo
13/8/2026,Carnes RES,"28562,4",Pablo
13/8/2026,Rapanui,13200,Martu
14/8/2026,Diarco,3860,Pablo
15/8/2026,Pizza Los maestros,25000,Martu
15/8/2026,Open 25,6300,Pablo
16/8/2026,Diarco,15967,Pablo
16/8/2026,Cinepolis,20000,Martu
16/8/2026,Rapanui,6320,Martu
17/8/2026,Carefour,3863,Martu
20/8/2026,Mostaza ,9500,Pablo
19/8/2026,Carnes RES,54440,Pablo
20/8/2026,Coto,"66093,2",Martu
19/8/2026,Supermercados Dia,8469,Pablo
20/8/2026,Verduleria,2000,Pablo
26/8/2026,Diarco,4900,Pablo
26/8/2026,Verduleria,17000,Pablo
27/8/2026,Mostaza,35490,Pablo
28/8/2026,Coto,31600,Pablo
